transaction_id,amount,currency,timestamp,status,network,card_type,bin,last4,merchant_id,merchant_category_code,country,customer_id,email,phone,risk_score,risk_level
txn_00000000,2999.9,INR,2025-12-30T05:19:52.273285,approved,VISA,credit,424077,4364,MID_5681,5541,IN,cust_4425,user0@example.com,+917652997539,5,low
txn_00000001,8844.8,INR,2025-12-09T05:19:52.273285,approved,RuPay,credit,494679,8886,MID_9655,5411,IN,cust_5420,user1@example.com,+919276084167,30,low
txn_00000002,9274.16,INR,2025-12-24T05:19:52.273285,approved,RuPay,credit,436442,7706,MID_8219,5311,IN,cust_4938,user2@example.com,+919583400344,10,low
txn_00000003,3697.21,INR,2025-12-26T05:19:52.273285,approved,RuPay,credit,439810,4538,MID_8438,5411,IN,cust_8113,user3@example.com,+918074215229,19,low
txn_00000004,6050.78,INR,2025-12-26T05:19:52.273285,approved,VISA,debit,496052,6364,MID_3640,5411,IN,cust_5603,user4@example.com,+919339745279,30,low
txn_00000005,7451.26,INR,2026-01-04T05:19:52.273285,approved,RuPay,debit,463943,8769,MID_9374,5812,IN,cust_3566,user5@example.com,+918740174405,26,low
txn_00000006,6442.79,INR,2025-12-08T05:19:52.274308,approved,VISA,debit,486960,8701,MID_4480,5311,IN,cust_9636,user6@example.com,+919951486439,5,low
txn_00000007,3779.49,INR,2025-12-11T05:19:52.274308,approved,RuPay,debit,478223,2980,MID_5860,5541,IN,cust_8284,user7@example.com,+919832706963,27,low
txn_00000008,3980.18,INR,2025-12-23T05:19:52.274308,approved,VISA,credit,461238,9044,MID_2398,5311,IN,cust_4385,user8@example.com,+919803083018,11,low
txn_00000009,773.43,INR,2025-12-28T05:19:52.274308,approved,Mastercard,debit,437858,7000,MID_3540,5812,IN,cust_5130,user9@example.com,+918502742742,30,low
txn_00000010,1183.51,INR,2026-01-02T05:19:52.274308,approved,VISA,credit,467282,3532,MID_4702,5541,IN,cust_6734,user10@example.com,+917169642240,9,low
txn_00000011,6064.09,INR,2025-12-17T05:19:52.274308,approved,Mastercard,debit,480703,1622,MID_1344,5541,IN,cust_8304,user11@example.com,+919680778092,14,low
txn_00000012,6923.16,INR,2025-12-06T05:19:52.274308,approved,VISA,debit,416186,6197,MID_3503,5311,IN,cust_4456,user12@example.com,+918706613241,24,low
txn_00000013,14160.53,INR,2025-12-31T05:19:52.274308,approved,RuPay,debit,465055,1938,MID_3554,5812,IN,cust_5839,user13@example.com,+919996025988,6,low
txn_00000014,911.8,INR,2025-12-28T05:19:52.274308,approved,VISA,debit,495746,8463,MID_7096,5541,IN,cust_4199,user14@example.com,+918742353811,13,low
txn_00000015,1183.09,INR,2025-12-31T05:19:52.274308,approved,Mastercard,credit,431535,1361,MID_1952,5541,IN,cust_3972,user15@example.com,+918937971781,22,low
txn_00000016,12012.91,INR,2025-12-19T05:19:52.274308,approved,VISA,credit,449620,7211,MID_2155,5411,IN,cust_2435,user16@example.com,+917938199007,25,low
txn_00000017,13737.53,INR,2025-12-19T05:19:52.274308,approved,Mastercard,credit,462839,4891,MID_8405,5411,IN,cust_2959,user17@example.com,+918112530274,17,low
txn_00000018,11698.87,INR,2026-01-03T05:19:52.274308,approved,RuPay,debit,485037,3351,MID_6297,5411,IN,cust_3835,user18@example.com,+919456783458,23,low
txn_00000019,6749.59,INR,2025-12-29T05:19:52.274308,approved,Mastercard,debit,495675,4991,MID_1644,5541,IN,cust_9128,user19@example.com,+919029326227,23,low
txn_00000020,8374.63,INR,2025-12-22T05:19:52.274308,approved,VISA,debit,454470,9118,MID_9344,5411,IN,cust_6871,user20@example.com,+919356281294,18,low
txn_00000021,1401.37,INR,2025-12-08T05:19:52.274308,approved,RuPay,credit,431618,9710,MID_7188,5411,IN,cust_2413,user21@example.com,+918723330107,9,low
txn_00000022,4807.27,INR,2025-12-31T05:19:52.274308,approved,Mastercard,credit,420389,7712,MID_1736,5541,IN,cust_6450,user22@example.com,+919081358600,18,low
txn_00000023,1814.82,INR,2025-12-25T05:19:52.274308,approved,RuPay,debit,441912,4667,MID_6784,5541,IN,cust_1125,user23@example.com,+917782526622,5,low
txn_00000024,13484.6,INR,2025-12-31T05:19:52.274308,approved,Mastercard,credit,438994,3321,MID_6108,5411,IN,cust_5472,user24@example.com,+919383454711,5,low
txn_00000025,3629.83,INR,2026-01-03T05:19:52.274308,approved,VISA,debit,458145,6400,MID_8280,5812,IN,cust_9293,user25@example.com,+917712969211,25,low
txn_00000026,13701.61,INR,2025-12-14T05:19:52.274308,approved,Mastercard,credit,461311,3838,MID_2894,5541,IN,cust_9601,user26@example.com,+918212619739,19,low
txn_00000027,9719.64,INR,2025-12-31T05:19:52.274308,approved,RuPay,credit,479024,3570,MID_4655,5311,IN,cust_6860,user27@example.com,+918735849772,23,low
txn_00000028,8073.62,INR,2025-12-19T05:19:52.274308,approved,RuPay,debit,409212,5263,MID_2089,5541,IN,cust_6675,user28@example.com,+917257882337,13,low
txn_00000029,4779.98,INR,2025-12-31T05:19:52.274308,approved,RuPay,debit,422563,3700,MID_1950,5812,IN,cust_7626,user29@example.com,+919962053999,20,low
txn_00000030,1559.02,INR,2025-12-16T05:19:52.274308,approved,Mastercard,debit,424000,2720,MID_1878,5812,IN,cust_4914,user30@example.com,+919120629631,24,low
txn_00000031,6243.42,INR,2025-12-20T05:19:52.274308,approved,RuPay,credit,462448,6756,MID_3141,5411,IN,cust_3184,user31@example.com,+918784937396,27,low
txn_00000032,4624.12,INR,2026-01-04T05:19:52.275314,approved,Mastercard,credit,417543,3565,MID_9822,5411,IN,cust_7003,user32@example.com,+919681873436,7,low
txn_00000033,4813.19,INR,2025-12-31T05:19:52.275314,approved,RuPay,debit,400852,2154,MID_5850,5311,IN,cust_2046,user33@example.com,+919559162502,16,low
txn_00000034,12760.55,INR,2025-12-30T05:19:52.275314,approved,Mastercard,credit,440461,9001,MID_3157,5411,IN,cust_8973,user34@example.com,+917100303778,18,low
txn_00000035,6560.51,INR,2025-12-30T05:19:52.275314,approved,VISA,debit,475168,8321,MID_9151,5812,IN,cust_7178,user35@example.com,+919544907480,8,low
txn_00000036,6303.91,INR,2026-01-05T05:19:52.275314,approved,RuPay,credit,467180,8286,MID_3474,5311,IN,cust_7096,user36@example.com,+919950716521,19,low
txn_00000037,1770.21,INR,2025-12-08T05:19:52.275314,approved,Mastercard,credit,442429,6292,MID_8637,5812,IN,cust_9516,user37@example.com,+919041413339,5,low
txn_00000038,4191.91,INR,2026-01-01T05:19:52.275314,approved,Mastercard,debit,467007,6641,MID_3122,5411,IN,cust_4037,user38@example.com,+919494751854,29,low
txn_00000039,1900.4,INR,2026-01-03T05:19:52.275314,approved,Mastercard,credit,422031,9245,MID_6928,5411,IN,cust_3458,user39@example.com,+917181236881,14,low
txn_00000040,10081.49,INR,2025-12-10T05:19:52.275314,approved,RuPay,debit,454240,4248,MID_7873,5541,IN,cust_5671,user40@example.com,+919724267258,10,low
txn_00000041,13743.84,INR,2025-12-30T05:19:52.275314,approved,Mastercard,credit,455134,6062,MID_6227,5541,IN,cust_8071,user41@example.com,+918777983632,24,low
txn_00000042,5954.13,INR,2025-12-08T05:19:52.275314,approved,Mastercard,credit,423067,2835,MID_1451,5411,IN,cust_6743,user42@example.com,+919401323077,22,low
txn_00000043,12518.76,INR,2026-01-03T05:19:52.275314,approved,Mastercard,debit,419209,5680,MID_5724,5812,IN,cust_3179,user43@example.com,+918172148649,20,low
txn_00000044,7114.71,INR,2025-12-28T05:19:52.275314,approved,VISA,debit,483493,4489,MID_4413,5541,IN,cust_6496,user44@example.com,+918218992263,6,low
txn_00000045,5368.85,INR,2025-12-12T05:19:52.275314,approved,VISA,credit,467882,6619,MID_5860,5311,IN,cust_6418,user45@example.com,+917035667799,21,low
txn_00000046,7218.22,INR,2025-12-18T05:19:52.275314,approved,RuPay,debit,464461,8090,MID_7025,5411,IN,cust_9501,user46@example.com,+919984379326,29,low
txn_00000047,7154.39,INR,2025-12-24T05:19:52.275314,approved,Mastercard,debit,415183,2737,MID_1714,5541,IN,cust_7643,user47@example.com,+918741309497,15,low
txn_00000048,1024.22,INR,2025-12-10T05:19:52.275314,approved,Mastercard,debit,432960,6789,MID_6361,5812,IN,cust_8769,user48@example.com,+917542732295,6,low
txn_00000049,1978.82,INR,2025-12-28T05:19:52.275314,approved,Mastercard,credit,491102,2912,MID_5843,5541,IN,cust_2122,user49@example.com,+917171270292,10,low
txn_00000050,2636.19,INR,2025-12-27T05:19:52.275314,approved,RuPay,credit,429309,6493,MID_3382,5541,IN,cust_2685,user50@example.com,+917015135099,15,low
txn_00000051,2192.91,INR,2025-12-18T05:19:52.275314,approved,Mastercard,debit,450834,9614,MID_7218,5411,IN,cust_6248,user51@example.com,+918618210439,26,low
txn_00000052,12487.61,INR,2025-12-18T05:19:52.275314,approved,RuPay,credit,473228,4106,MID_5416,5812,IN,cust_5831,user52@example.com,+918128755921,25,low
txn_00000053,4375.43,INR,2025-12-31T05:19:52.276313,approved,RuPay,credit,418179,4859,MID_5058,5812,IN,cust_4470,user53@example.com,+917357656121,13,low
txn_00000054,1785.62,INR,2025-12-29T05:19:52.276313,approved,Mastercard,debit,408018,4897,MID_5853,5812,IN,cust_6487,user54@example.com,+919206462052,20,low
txn_00000055,11174.72,INR,2025-12-18T05:19:52.276313,approved,RuPay,credit,456937,6993,MID_9139,5411,IN,cust_9457,user55@example.com,+918823427825,21,low
txn_00000056,5423.35,INR,2025-12-10T05:19:52.276313,approved,Mastercard,credit,441797,8304,MID_5628,5411,IN,cust_5564,user56@example.com,+919891454442,16,low
txn_00000057,9009.67,INR,2025-12-11T05:19:52.276313,approved,VISA,debit,494290,5418,MID_7278,5541,IN,cust_2891,user57@example.com,+917116266617,10,low
txn_00000058,8731.62,INR,2025-12-14T05:19:52.276313,approved,RuPay,debit,455213,7734,MID_8484,5411,IN,cust_6681,user58@example.com,+919836582941,10,low
txn_00000059,1260.61,INR,2025-12-21T05:19:52.276313,approved,RuPay,credit,422902,6113,MID_1591,5812,IN,cust_5093,user59@example.com,+917995893870,21,low
txn_00000060,4774.63,INR,2025-12-09T05:19:52.276313,approved,Mastercard,credit,409182,8663,MID_8450,5311,IN,cust_7112,user60@example.com,+919913135864,13,low
txn_00000061,11305.89,INR,2025-12-21T05:19:52.276313,approved,RuPay,debit,471139,7449,MID_7667,5541,IN,cust_8069,user61@example.com,+919026668729,19,low
txn_00000062,7213.42,INR,2025-12-17T05:19:52.276313,approved,Mastercard,debit,445848,3999,MID_4016,5541,IN,cust_9017,user62@example.com,+919114713952,10,low
txn_00000063,6425.28,INR,2025-12-07T05:19:52.276313,approved,RuPay,debit,411514,4769,MID_7183,5411,IN,cust_5559,user63@example.com,+917398013571,5,low
txn_00000064,11243.24,INR,2026-01-04T05:19:52.276313,approved,RuPay,debit,467956,7247,MID_6854,5311,IN,cust_6618,user64@example.com,+919486733679,19,low
txn_00000065,7911.06,INR,2025-12-13T05:19:52.276313,approved,RuPay,debit,435339,8675,MID_6277,5812,IN,cust_7486,user65@example.com,+919441470051,9,low
txn_00000066,12487.26,INR,2025-12-24T05:19:52.276313,approved,Mastercard,debit,423534,6341,MID_1934,5541,IN,cust_1292,user66@example.com,+919725668296,5,low
txn_00000067,10486.78,INR,2025-12-12T05:19:52.276313,approved,VISA,credit,465162,3498,MID_5354,5541,IN,cust_9044,user67@example.com,+918224391539,22,low
txn_00000068,8948.29,INR,2026-01-01T05:19:52.276313,approved,RuPay,debit,472760,6685,MID_8407,5541,IN,cust_8553,user68@example.com,+918920413919,28,low
txn_00000069,7381.62,INR,2026-01-03T05:19:52.276313,approved,RuPay,credit,471354,6503,MID_8821,5311,IN,cust_3211,user69@example.com,+918158967937,5,low
txn_00000070,3455.0,INR,2025-12-21T05:19:52.276313,approved,VISA,credit,441390,6600,MID_8327,5812,IN,cust_9581,user70@example.com,+919083433109,19,low
txn_00000071,4677.67,INR,2026-01-01T05:19:52.276313,approved,Mastercard,debit,428901,7849,MID_4398,5311,IN,cust_1865,user71@example.com,+919473535554,28,low
txn_00000072,5477.57,INR,2026-01-05T05:19:52.276313,approved,RuPay,debit,465459,3241,MID_3224,5311,IN,cust_8713,user72@example.com,+918935244200,12,low
txn_00000073,11397.33,INR,2025-12-11T05:19:52.276313,approved,Mastercard,debit,462987,8597,MID_3304,5311,IN,cust_8795,user73@example.com,+917877748362,6,low
txn_00000074,14679.35,INR,2025-12-18T05:19:52.276313,approved,VISA,debit,440636,9146,MID_2069,5812,IN,cust_6867,user74@example.com,+919778123906,15,low
txn_00000075,3262.53,INR,2026-01-02T05:19:52.276313,approved,VISA,credit,451124,6281,MID_3997,5411,IN,cust_1349,user75@example.com,+919720907425,16,low
txn_00000076,8318.69,INR,2026-01-04T05:19:52.276313,approved,RuPay,debit,439047,5317,MID_5178,5812,IN,cust_2342,user76@example.com,+918911417570,30,low
txn_00000077,8864.24,INR,2025-12-25T05:19:52.276313,approved,VISA,debit,447105,6232,MID_8080,5541,IN,cust_1029,user77@example.com,+917746437461,8,low
txn_00000078,8127.88,INR,2025-12-24T05:19:52.276313,approved,RuPay,debit,449301,5800,MID_5263,5311,IN,cust_1208,user78@example.com,+917960314569,13,low
txn_00000079,1287.62,INR,2025-12-16T05:19:52.276313,approved,RuPay,credit,429520,1941,MID_7056,5311,IN,cust_4213,user79@example.com,+917671277690,16,low
txn_00000080,7344.39,INR,2025-12-27T05:19:52.276313,approved,RuPay,debit,473214,5976,MID_6930,5311,IN,cust_4149,user80@example.com,+918823739637,27,low
txn_00000081,1406.77,INR,2025-12-08T05:19:52.277303,approved,Mastercard,credit,462813,8741,MID_1089,5311,IN,cust_9374,user81@example.com,+919177340482,11,low
txn_00000082,1036.78,INR,2026-01-02T05:19:52.277303,approved,Mastercard,debit,479112,4731,MID_7983,5541,IN,cust_2022,user82@example.com,+918461747456,23,low
txn_00000083,10199.09,INR,2025-12-23T05:19:52.277303,approved,Mastercard,credit,474323,4466,MID_7539,5311,IN,cust_8984,user83@example.com,+918855837802,5,low
txn_00000084,4832.62,INR,2025-12-17T05:19:52.277303,approved,RuPay,debit,493426,6876,MID_8835,5411,IN,cust_2364,user84@example.com,+917412947195,19,low
txn_00000085,7026.37,INR,2025-12-27T05:19:52.277303,approved,Mastercard,debit,468571,6499,MID_1086,5411,IN,cust_5850,user85@example.com,+917944158247,28,low
txn_00000086,7343.44,INR,2026-01-05T05:19:52.277303,approved,VISA,debit,410034,6987,MID_8931,5411,IN,cust_5991,user86@example.com,+919434675407,25,low
