transaction_id,amount,currency,timestamp,status,network,card_type,bin,last4,merchant_id,merchant_category_code,country,customer_id,email,phone,risk_score,risk_level
txn_00000000,852936.7,XXX,invalid_date,error,VISA,unknown,000000,0000,,9999,NG,,,,82,high
txn_00000001,1964.89,USD,2025-11-12T05:19:52.319861,error,,unknown,459053,2518,MID_9685,0000,,cust_7861,,,74,high
txn_00000002,1486500.99,???,invalid_date,declined,VISA,credit,000000,0000,,,,,,,81,high
txn_00000003,7306.58,XXX,2025-11-06T05:19:52.319861,declined,VISA,unknown,425532,4666,MID_7967,0000,NG,cust_4721,,,96,high
txn_00000004,1022682.42,???,invalid_date,error,UNKNOWN,unknown,000000,0000,,0000,,,,,95,high
txn_00000005,5112.65,XXX,2025-11-16T05:19:52.319861,failed,VISA,unknown,436007,2508,MID_1882,,XX,cust_4884,,,95,high
txn_00000006,840665.8,XXX,invalid_date,declined,UNKNOWN,unknown,000000,0000,,9999,KP,,,,70,high
txn_00000007,4026.68,XXX,2025-12-30T05:19:52.319861,approved,UNKNOWN,,405488,1663,MID_6412,,KP,cust_5963,,,79,high
txn_00000008,1370834.63,INR,invalid_date,failed,,unknown,000000,0000,,9999,XX,,,,74,high
txn_00000009,4894.92,XXX,2025-11-08T05:19:52.319861,failed,,,412024,7886,MID_6514,9999,NG,cust_1805,,,85,high
txn_00000010,675927.25,XXX,invalid_date,error,NONE,,000000,0000,,0000,NG,,,,84,high
txn_00000011,6086.21,???,2025-10-18T05:19:52.319861,error,NONE,,493810,7269,MID_3529,9999,,cust_4700,,,91,high
txn_00000012,957626.31,USD,invalid_date,failed,,,000000,0000,,9999,XX,,,,71,high
txn_00000013,6130.6,???,2025-12-12T05:19:52.319861,failed,VISA,unknown,403060,3232,MID_7810,9999,KP,cust_8223,,,88,high
txn_00000014,1929865.86,USD,invalid_date,error,VISA,unknown,000000,0000,,0000,,,,,97,high
txn_00000015,7364.21,USD,2025-11-29T05:19:52.319861,declined,UNKNOWN,credit,423295,3650,MID_2740,9999,KP,cust_5729,,,99,high
txn_00000016,1590265.66,INR,invalid_date,error,,credit,000000,0000,,0000,XX,,,,72,high
txn_00000017,1546.78,USD,2025-10-08T05:19:52.319861,error,UNKNOWN,credit,449743,5938,MID_9416,,KP,cust_3385,,,77,high
txn_00000018,1033282.45,INR,invalid_date,error,VISA,unknown,000000,0000,,0000,XX,,,,77,high
txn_00000019,5803.15,XXX,2025-12-22T05:19:52.320861,declined,NONE,,444137,6409,MID_8811,9999,KP,cust_9979,,,77,high
txn_00000020,1084104.75,XXX,invalid_date,failed,VISA,unknown,000000,0000,,,XX,,,,86,high
txn_00000021,9431.8,???,2025-11-04T05:19:52.320861,error,NONE,unknown,439795,8602,MID_2862,9999,NG,cust_6149,,,87,high
txn_00000022,1383261.22,INR,invalid_date,failed,VISA,,000000,0000,,0000,KP,,,,78,high
txn_00000023,678.28,???,2026-01-02T05:19:52.320861,approved,NONE,unknown,436235,4384,MID_4078,0000,XX,cust_4269,,,85,high
txn_00000024,1923079.09,USD,invalid_date,declined,,,000000,0000,,9999,KP,,,,75,high
txn_00000025,3589.14,???,2025-10-08T05:19:52.320861,declined,NONE,credit,435724,3231,MID_3255,9999,NG,cust_1107,,,90,high
