transaction_id,amount,currency,timestamp,status,network,card_type,bin,last4,merchant_id,merchant_category_code,country,customer_id,email,phone,risk_score,risk_level
txn_00000000,368482.09,USD,2025-11-20T05:19:52.280954,declined,Mastercard,debit,484570,6729,MID_9378,0000,US,cust_8694,,,42,high
txn_00000001,14580.15,INR,2025-11-11T05:19:52.280954,approved,Mastercard,prepaid,419582,2925,MID_9699,5812,IN,cust_3775,user1@example.com,+917045024285,14,low
txn_00000002,8751.25,INR,2025-11-12T05:19:52.280954,approved,Mastercard,prepaid,427225,8991,MID_6448,5812,IN,cust_3019,user2@example.com,+917393004229,29,low
txn_00000003,15742.01,INR,2025-12-04T05:19:52.280954,approved,VISA,credit,486352,1969,MID_4813,5812,IN,cust_4209,user3@example.com,+917914324142,30,low
txn_00000004,295344.94,EUR,2025-12-12T05:19:52.280954,declined,RuPay,credit,428291,1270,MID_4969,5411,NG,cust_8346,,,48,high
txn_00000005,5843.93,INR,2025-12-20T05:19:52.280954,approved,VISA,debit,428581,4751,MID_8867,5812,IN,cust_9490,user5@example.com,+917728874646,21,low
txn_00000006,1995.01,INR,2025-11-16T05:19:52.280954,approved,Mastercard,debit,454956,3629,MID_6510,5812,IN,cust_9039,user6@example.com,+919637464004,25,low
txn_00000007,13470.73,INR,2025-12-31T05:19:52.280954,approved,VISA,debit,447989,1967,MID_5509,5812,IN,cust_3339,user7@example.com,+917617209954,18,low
txn_00000008,106914.71,INR,2025-11-25T05:19:52.280954,pending,Mastercard,debit,421028,5930,MID_6213,0000,IN,cust_1263,,,76,high
txn_00000009,1140.48,INR,2025-12-11T05:19:52.280954,approved,VISA,credit,411119,7886,MID_8081,5812,IN,cust_8348,user9@example.com,+919489892566,15,low
txn_00000010,1037.53,INR,2025-12-30T05:19:52.280954,approved,Mastercard,credit,402126,6593,MID_3831,5812,IN,cust_3273,user10@example.com,+917021337426,15,low
txn_00000011,14186.29,INR,2025-12-02T05:19:52.280954,approved,VISA,debit,486632,5467,MID_1807,5812,IN,cust_2764,user11@example.com,+918125138913,39,low
txn_00000012,216329.84,USD,2025-11-22T05:19:52.280954,declined,UNKNOWN,debit,408053,9303,MID_2366,0000,GB,cust_6526,,,59,high
txn_00000013,14473.97,INR,2025-12-22T05:19:52.280954,approved,Mastercard,prepaid,417424,7386,MID_8018,5812,IN,cust_9808,user13@example.com,+918118004341,25,low
txn_00000014,2784.28,INR,2025-11-10T05:19:52.280954,approved,VISA,prepaid,441210,6650,MID_1214,5812,IN,cust_7984,user14@example.com,+917090090849,38,low
txn_00000015,6751.49,INR,2025-12-01T05:19:52.280954,approved,VISA,credit,446976,2848,MID_9776,5812,IN,cust_7679,user15@example.com,+919240670069,12,low
txn_00000016,359451.78,USD,2025-11-29T05:19:52.280954,pending,Mastercard,debit,406311,2791,MID_7266,0000,NG,cust_8721,,,80,high
txn_00000017,13220.47,INR,2025-12-22T05:19:52.281971,approved,Mastercard,credit,434088,6855,MID_1826,5812,IN,cust_7848,user17@example.com,+917228038318,39,low
txn_00000018,7726.88,INR,2025-12-03T05:19:52.281971,approved,Mastercard,debit,449258,6847,MID_7775,5812,IN,cust_9335,user18@example.com,+918566812738,26,low
txn_00000019,16005.04,INR,2025-12-16T05:19:52.281971,approved,Mastercard,credit,455276,1691,MID_1673,5812,IN,cust_8225,user19@example.com,+919441345414,14,low
txn_00000020,486561.12,INR,2025-11-25T05:19:52.281971,approved,RuPay,debit,452183,2480,MID_2345,0000,US,cust_5019,,,49,high
txn_00000021,10522.95,INR,2025-12-07T05:19:52.281971,approved,VISA,credit,406037,7635,MID_5268,5812,IN,cust_1315,user21@example.com,+917765840760,15,low
txn_00000022,13380.94,INR,2025-12-31T05:19:52.281971,approved,VISA,credit,437898,8412,MID_7674,5812,IN,cust_3643,user22@example.com,+918005405606,29,low
txn_00000023,9337.77,INR,2026-01-03T05:19:52.281971,approved,VISA,credit,456499,4866,MID_5198,5812,IN,cust_6176,user23@example.com,+918816150450,10,low
